,revenue_band,salesa
0,0.0,15000000
3,0.0,1000000
4,0.0,1500000
7,0.0,18000000
8,0.0,400000
10,0.0,450000
13,0.0,1100000
15,0.0,2300000
16,0.0,3000000
18,0.0,350000
19,0.0,7500000
21,0.0,200000
27,0.0,260000
29,0.0,400000
30,0.0,400000
31,0.0,5000000
33,0.0,150000
37,0.0,27000000
38,0.0,250000000
39,0.0,118000000
41,0.0,13768194
43,0.0,160000
44,0.0,6000000
45,0.0,300000
49,0.0,190000000
50,0.0,10000000
51,0.0,1000000
53,0.0,700000
54,0.0,7000000
58,0.0,80000
61,0.0,250000
62,0.0,880000
63,0.0,120000
64,0.0,700000
65,0.0,20000000
67,0.0,70000
69,0.0,200000
70,0.0,50000
71,0.0,3000000
74,0.0,200000
75,0.0,112000
76,0.0,200000
77,0.0,5000000
80,0.0,500000000
81,0.0,14000000
83,0.0,1500000
84,0.0,150000000
85,0.0,59000
86,0.0,2000000
87,0.0,800000
88,0.0,50000
89,0.0,15000000
90,0.0,14000000
92,0.0,100000
93,0.0,17000000
97,0.0,2000000
98,0.0,2900000
99,0.0,500000
100,0.0,95000
101,0.0,60000
103,0.0,300000
104,0.0,2400000
105,0.0,75000000
107,0.0,1500000
108,0.0,300000
109,0.0,800000
110,0.0,70
112,0.0,220000
113,0.0,190000
114,0.0,1000000
119,0.0,20000000
120,0.0,500000
121,0.0,60000000
122,0.0,2400000
126,0.0,1000000
127,0.0,120000
128,0.0,1000000
129,0.0,100000
130,0.0,440000
131,0.0,1800000
133,0.0,1800000
135,0.0,4000000
136,0.0,500000
138,0.0,19000000
140,0.0,140000
142,0.0,750000
143,0.0,70000
144,0.0,500000
145,0.0,200000
148,0.0,700000
150,0.0,300000
151,0.0,400000
153,0.0,350000
154,0.0,750000
156,0.0,299700000
159,0.0,109000000
161,0.0,80000
163,0.0,700000
164,0.0,3000000
167,0.0,400000
168,0.0,10000000
169,0.0,400000
172,0.0,1200000
178,0.0,750000
181,0.0,50000
183,0.0,2000000
184,0.0,700000
185,0.0,41000000
188,0.0,183000000
189,0.0,350000
192,0.0,600000
195,0.0,60000
196,0.0,200000
